"","Shooting","Defense","Playmaking","ShotCreating"
"Keita Bates-Diop",-0.154445015,-0.428779093,0.302536904,0.070422535
"Karl-Anthony Towns",0.136226027,0.039750782,0.680004598,0.12415804
"Robert Covington",0.240168985,3.344973606,0.490947981,0.044198895
"Dario Saric",0.066688113,-0.971618063,0.446962744,0.033045977
"Anthony Tolliver",0.094601142,-0.477870059,0.257385739,0
"Mitchell Creek",-2.745780941,-3.979786178,0,0.125
"Taj Gibson",-2.06096662,-1.546470137,0.388211524,0.059479554
"Ian Clark",-0.015913159,-3.038161149,0.513801842,0.120104438
"Stanley Johnson",-0.09342839,2.190022379,0.563809299,0.138636364
"Elfrid Payton",-0.031269028,-1.128003798,0.866166826,0.254419873
"Jahlil Okafor",-2.294667542,-0.976278683,0.416492849,0.23219795
"Dairis Bertans",-2.128200828,-5.219271608,0.3,0.021276596
"Jrue Holiday",0.016175035,1.472658993,0.879461839,0.365529958
"Cheick Diallo",-2.147229817,-0.468058049,0.477922289,0.014814815
"Frank Jackson",-0.056343268,-2.759810357,0.378961967,0.120535714
"Darius Miller",0.114197521,-0.493935462,0.604003139,0.049586777
"Anthony Davis",-0.011477676,3.275084908,0.616892659,0.131718141
"Julius Randle",0.001525808,-2.019237211,0.643465529,0.272962099
"Kenrich Williams",0.028794421,0.717969568,0.481725417,0.061371841
"Christian Wood",-2.033879811,-1.863515307,0.345588235,0.042735043
"Solomon Hill",-0.041398159,-0.385921876,0.427419768,0.028089888
"E'Twaun Moore",0.212820885,-2.214975388,0.467235994,0.122573491
"Kadeem Allen",-1.760440973,-1.023795247,0.367408907,0.271428571
"Emmanuel Mudiay",0.020845586,-1.999553974,0.82557425,0.307220066
"Luke Kornet",0.092853873,3.6311398,0.299980931,0.007352941
"Billy Garrett",-2.698698366,-5.714371297,0.357142857,0.28
"Isaiah Hicks",-2,1.549717278,0.333333333,0
"Dennis Smith Jr.",0.017073922,1.171558246,0.814488409,0.318513763
"DeAndre Jordan",-2,0.697538738,0.451515247,0.006741573
"Mario Hezonja",-0.107800826,-0.061274746,0.612595731,0.190102126
"Frank Ntilikina",-0.085085015,-0.355674683,0.672213467,0.207219273
"Henry Ellenson",-1.821461667,-3.237114485,0.418981481,0.063157895
"Allonzo Trier",0.108776673,-1.451901546,0.666781043,0.361883515
"Kevin Knox II",0.045612579,-4.319854979,0.524104995,0.133561387
"Damyean Dotson",0.101955642,-1.214911025,0.579109772,0.14385489
"Mitchell Robinson",-2,0.884326008,0.058475145,0.006993007
"John Jenkins",0.124921235,-3.022955685,0.271043771,0.066666667
"Noah Vonleh",-0.02161599,0.888348777,0.467781698,0.200505062
"Lance Thomas",-0.138677242,-1.011994244,0.469032305,0.020304568
"Russell Westbrook",-0.044938366,-1.110208199,1.197751534,0.406349109
"Raymond Felton",-0.00641668,2.230969762,0.38003663,0.222222222
"Nerlens Noel",-2,3.132992205,0.549478012,0.003649635
"Markieff Morris",0.00616762,-0.941182546,0.583439947,0.035343035
"Hamidou Diallo",-2.41300911,-1.622405448,0.637283997,0.097560976
"Jawun Evans",-2.701887184,0.760087915,0.088888889,0.071428572
"Jerami Grant",0.100598214,1.178368894,0.484617489,0.053025673
"Abdel Nader",-0.059720878,-2.311731911,0.409015474,0.112676056
"Steven Adams",-2.380082927,1.875017591,0.476470324,0.051572327
"Paul George",0.205637629,4.206322803,0.786469656,0.309504073
"Donte Grantham",-2.708775425,-15.07692314,0,0
"Dennis Schroder",0.026325228,-0.586918595,0.830536125,0.357990674
"Terrance Ferguson",0.059675934,-1.579597721,0.57847981,0.018912529
"Deonte Burton",-2.137279732,4.078677907,0.481481481,0.073170732
"Patrick Patterson",-0.023873758,-1.388800043,0.381048888,0.013824885
"Aaron Gordon",0.0394124,0.322631076,0.638402693,0.161885636
"Jonathan Isaac",-0.032168273,1.473671158,0.266029939,0.067433207
"Jarell Martin",0.003671467,-1.149719652,0.272727273,0.048076923
"Troy Caupain",-1.382330332,4.940585707,0,0
"Mo Bamba",-0.100090326,-0.9367748,0.055039509,0
"Michael Carter-Williams",-0.163459946,1.968074784,0.314285714,0.219512195
"Nikola Vucevic",0.041838987,3.395626636,0.712775553,0.070531205
"Evan Fournier",0.04578168,-0.586519922,0.63243967,0.184344782
"Amile Jefferson",-2,-2.461722787,0,0
"D.J. Augustin",0.176821292,-2.376711108,0.739175479,0.339084489
"Markelle Fultz",-2.114314535,-0.205591388,0.289943503,0.232258065
"Jerian Grant",0.048035123,-1.0168385,0.608331672,0.247828933
"Khem Birch",-2.729440147,3.79999575,0.303816177,0.02
"Wes Iwundu",0.015476573,0.578032267,0.454745399,0.091240876
"Terrence Ross",0.170427782,-0.329349363,0.50203249,0.103614427
"Melvin Frazier Jr.",-2.701603081,2.459693552,0.666666667,0.047619048
"Mike Scott",0.126490877,-2.182690039,0.484633635,0.026190476
"Amir Johnson",-2.11478767,-0.620777819,0.373284661,0.025477707
"Haywood Highsmith",-2.299474289,-8.292507734,0.333333333,0
"Zhaire Smith",-1.966411744,-0.58117895,0.2,0.117647059
"James Ennis III",0.015478618,-1.944100919,0.493949994,0.030612245
"T.J. McConnell",-2.078977222,-0.685020766,0.757915401,0.301204819
"Jonathon Simmons",-0.138718495,-0.6192186,0.662032999,0.156342183
"JJ Redick",0.203880355,-0.632733121,0.647760664,0.037475345
"Shake Milton",-2.086922041,-1.311378115,0.277777778,0.034482759
"Joel Embiid",-0.051768178,4.84082089,0.474476299,0.136840735
"Jimmy Butler",0.046490058,1.970907089,0.717584036,0.272463365
"Ben Simmons",-2.685262287,-0.877988062,0.969599366,0.279019178
"Furkan Korkmaz",0.004615553,1.106053259,0.521217976,0.044897959
"Tobias Harris",0.144449563,-0.619941266,0.555321265,0.259627677
"Jonah Bolden",0.032410398,-0.310637221,0.414599494,0
"Boban Marjanovic",-1.938379838,1.605192626,0.396084573,0.019230769
"Greg Monroe",-2.321174258,0.148267717,0.322916667,0.052910053
"Devin Booker",0.062178543,-2.997282622,0.91232083,0.379362242
"Elie Okobo",-0.07547764,-1.451246091,0.649052181,0.209450878
"Kelly Oubre Jr.",-0.005581397,0.455728374,0.35331439,0.133174792
"George King",-2,-16.72028005,0,0
"Jamal Crawford",0.028130792,-5.81085017,0.808595894,0.365446271
"T.J. Warren",0.236139954,-1.211225502,0.56615647,0.189457424
"De'Anthony Melton",-0.070319755,0.368603444,0.671463864,0.140625
"Tyler Johnson",0.055413122,0.041461395,0.601233549,0.102661597
"Josh Jackson",-0.03277789,0.553359988,0.616850668,0.176421721
"Richaun Holmes",-2,0.168929539,0.474966931,0.016438356
"Deandre Ayton",-2.694144788,-1.675566944,0.481570335,0.033999246
"Mikal Bridges",0.005651416,1.126706032,0.515295796,0.055062167
"Ray Spalding",-2.726557528,-1.816671582,0.216666667,0.021276596
"Troy Daniels",0.12517816,-1.526318799,0.501482975,0.065454546
