,"cutree(clus, k = 10)",,,,,,
Troy Brown Jr.,1,,,,,,
Devin Robinson,6,,,,,,
Sam Dekker,1,,,,,,
Chasson Randle,2,,,,,,
Jabari Parker,2,,,,,,
Thomas Bryant,1,,,,,,
Dwight Howard,3,,,,,,
Ian Mahinmi,6,,,,,,
Tomas Satoransky,2,,,,,,
Jeff Green,2,,,,,,
Jordan McRae,1,,,,,,
